FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
99.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.321661,50,5100,0.003639,3.71031685356102E-05,102,0,1,0.002128,3.33796570070804E-05,0.004943183673469,0.001601,0.027093,1
45.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.173817,50,5100,0.00319,5.91962408163265E-07,102,0,1,0.001828,7.1648244E-07,0.0022084,0.001691,0.005336,0
45.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.095635,28,2856,0.002939,2.43952588751715E-06,102,0,1,0.001843,2.37528126200274E-06,0.002462185185185,0.001521,0.008034,0
64.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.11965,37,3774,0.0029485,1.05258912654321E-06,102,0,1,0.001847,1.03124702994887E-06,0.002287324324324,0.001737,0.005926,0
90.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.133504,39,3978,0.0030005,9.40205509695291E-07,102,0,1,0.0018485,8.73596709833795E-07,0.002343973684211,0.001728,0.005452,0
86.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.171948,50,5100,0.002993,1.53835902040816E-06,102,0,1,0.001844,1.51464418492295E-06,0.002374244897959,0.001741,0.006882,0
91.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.197916,50,5100,0.003118,2.74292037734277E-06,102,0,1,0.002046,2.69542910204082E-06,0.002941285714286,0.001717,0.008675,1
13.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.206826,50,5100,0.003051,8.51725769012911E-06,102,0,1,0.001823,4.8736385856E-06,0.00272112,0.001662,0.016328,0
88.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.102939,31,3162,0.002971,9.21588476666667E-07,102,0,1,0.001836,9.19974106666667E-07,0.0023384,0.001672,0.005551,0
82.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.189943,50,5100,0.003032,3.20133742107455E-06,102,0,1,0.001908,3.22146551270304E-06,0.002752448979592,0.001715,0.011582,0
25.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.210833,50,5100,0.003259,3.73826775510204E-06,102,0,1,0.0018885,8.585773104E-07,0.00238664,0.001691,0.005326,0
66.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.178773,50,5100,0.002995,5.53626146938776E-06,102,0,1,0.001847,5.4296385396E-06,0.00252402,0.00162,0.017905,0
100.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.382472,50,5100,0.005207,7.07558414310704E-05,102,0,1,0.002733,6.83924286522282E-05,0.005836204081633,0.001793,0.05165,1
39.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.56314,50,5079,0.002942,0.00309211869692,102,8.6436,1,0.00184,1.01962692544773E-06,0.002409816326531,0.001743,0.005486,0
